編號,品牌通路,品牌,系列中文名稱,系列英文名稱,中文品名,英文品名,中文簡介,英文簡介,用途,品項,功效,上市日期,規格,販售國家,停產國家,是否限量,產品別名,建立時間,修改時間,是否為口碑之星,是否在前台隱藏,精選文章數,是否上過首頁推薦,產品圖,圖1,圖2,圖3,圖4,圖5,
3421,專櫃,RMK,,,絕色指甲油,Nail Color Ex,彩繪出時尚指尖的粉色調與自然裸色調的限定新6色。4款粉色調含有襯托出可愛的輕柔粉紅、鮮嫩的櫻桃粉紅、鮮明的真實粉紅，展現清新的光澤粉紅。裸色調含2款，如鮮奶茶般的裸棕色、展現優雅氣質的光澤裸棕。,,美甲產品,"指甲油,","光澤,漆亮感,",2017/1/6,"容量:12ml:NT550:RM0,","TW, MY",,N,RMK 絕色指甲油,2016/3/13,,N,N,1,N,https://pic.pimg.tw/styleme/1486992129-400459307.jpg,,,,,,
3424,專櫃,RMK,2016 COLOR PERFORMANCE遊色幻采,,女伶蜜采盒,Spring Circus Face Color,打開蜜采盒，映入眼簾的是馬戲團女伶造型。這一季最具特徵、最具玩心的限定多色多功能蜜采盒。實現妳想呈現任何的膚色印象。,,彩妝品,"蜜粉,腮紅修容,","透亮,珠光,打亮,修容,",2016/3/13,"容量:21g:NT2050,","TW, MY",,N,"RMK 女伶蜜采盒,女伶蜜采盒",2016/3/13,,N,N,1,N,https://pic.pimg.tw/styleme/1457805437-549198109.jpg,,,,,,
3427,專櫃,RMK,身體保養系列,,身體潤膚乳(檸檬柑橘香氛),Body Milk(LC),濃郁柔軟的觸感能溫柔包圍肌膚，容易吸收、滲透快速，呈現保濕使用感。添加能促進緊實彈力感的豆奶發酵菁華、能調理出潤澤肌膚的西洋梨發酵菁華。從視覺、觸覺都能感受到絕上質感肌，具溫和如牛奶般的舒服觸感伴隨著全身肌膚。,,美體產品,"身體保養,","保濕,滋潤,提升光澤,透亮,舒緩,香氛,",2015/10/2,"容量:200ml:NT1250,","TW, MY",,N,"RMK 身體潤膚乳,RMK 身體潤膚乳 檸檬柑橘香氛",2016/3/13,,N,N,1,N,https://pic.pimg.tw/styleme/1457805704-3009585500.jpg,,,,,,
3430,專櫃,RMK,身體保養系列,,身體潤膚油(檸檬柑橘香氛),Body Oil(LC),擁有濃郁的質地，易與肌膚融合，可以使肌膚充滿潤澤般光澤。含可以調理肌膚水油平衡的茯苓菁華以及賦予肌膚潤澤感的柚子菁華。透過按摩促進血液循環更加順暢，使乾燥肌膚瞬間獲得滋潤。,,美體產品,"身體保養,","保濕,滋潤,香氛,",2015/10/1,"容量:150ml:NT1450,","TW, MY",,N,"RMK 身體潤膚油 檸檬柑橘香氛,RMK 身體潤膚油(檸檬柑橘香氛)",2016/3/13,,N,N,2,N,https://pic.pimg.tw/styleme/1457805810-1112576837.jpg,,,,,,
3433,專櫃,RMK,身體保養系列,,護手霜(檸檬柑橘香氛),Nail&Hand Cream(LC),連指尖也能充分保養的護手(護甲)霜。添加能預防乾燥、保持潤澤的米糠發酵菁華和能潤澤調理肌膚的西洋梨發酵菁華，使用感保濕不黏膩。隨時潤澤手部肌膚，展現洗練柔軟的手部肌膚。,,美體產品,"手部保養,","保濕,滋潤,舒緩,香氛,",2015/10/1,"容量:60g:NT700,","TW, MY",,N,"RMK 護手霜 檸檬柑橘香氛,RMK 護手霜(檸檬柑橘香氛)",2016/3/13,,N,N,,N,https://pic.pimg.tw/styleme/1457805928-1031457496.jpg,,,,,,
3436,專櫃,RMK,身體保養系列,,護唇膏(檸檬柑橘香氛),Lip Balm(LC),添加能預防唇部粗糙同時給予保濕感的乳油木果，且具有柔軟效果調理出柔軟肌膚的酪梨油，濃密的潤澤膜有如蜂蜜般溫柔融化於唇部光滑修飾縱向唇紋，呈現令人想觸摸般的彈力豐潤雙唇，同時散發著清新檸檬柑橘香氛。,,保養品,"唇部保養,","保濕,滋潤,抗皺,改善細紋,香氛,",2015/10/1,"容量:7g:NT750,","TW, MY",,N,"RMK 護唇膏 檸檬柑橘香氛,RMK 護唇膏(檸檬柑橘香氛)",2016/3/13,,N,N,1,N,https://pic.pimg.tw/styleme/1457805997-1311725946.jpg,,,,,,
3439,專櫃,RMK,,,活顏彈力菁華液,Barrier Treatment Essence,RMK首次上市第一瓶抗老的保養美容液，含有效成分GABA和甘草酸，能預防肌膚粗糙，另外添加擁有保濕效果的蜂王乳、米糠菁華、香蜂草等，讓保濕感傳遞到每吋肌膚，徹底支援肌膚運作。維持肌膚彈力且具有緊實感的膚質，呈現潤澤、透明光澤的完美肌膚。,,保養品,"精華液,","保濕,滋潤,抗老,提升光澤,",2015/10/2,"容量:30ml:NT2350,","TW, MY",,N,"RMK 活顏彈力菁華液,活顏彈力菁華液",2016/3/13,,N,N,,N,https://pic.pimg.tw/styleme/1457806137-59567198.jpg,,,,,,
3442,專櫃,PRADA,CANDY系列女香,,Candy Kiss 花花之吻女性淡香精,Candy Kiss,這支曲調由麝香單弦的存在感開始，香氣如此潔淨及柔軟，使它從前味到後味蛻變的過程都始終如一。彷彿輕盈的白棉花，麝香以柔軟的雲朵將女孩包覆，並輕灑上香草與橙花淡淡香氣，散發出細微且心曠神怡的香氛。,,香氛產品,"女性香氛,",,2016/3/13,"容量:30ml:NT2550,容量:50ml:NT3400,容量:80ml:NT4350,","TW, MY",,N,"Candy Kiss 花花之吻女性淡香精,PRADA Candy Kiss 花花之吻女性淡香精,花花之吻女性淡香精",2016/3/13,,N,N,,N,https://pic.pimg.tw/styleme/1457806470-2404202887.jpg,,,,,,
3445,專櫃,PAUL & JOE,2016 春蝶翩舞,,春蝶翩舞指甲油,Nail Polish,"人氣指甲油首次推出黑色！
指甲油的蓋子為限量版的淡粉紅色，讓指尖看起來美麗的粉紅色，搭配代表蝴蝶印象的黑線，將粉紅色的美麗襯托得更加明顯。",,美甲產品,"指甲油,","光澤,珠光,",2016/1/1,"容量:12ml:NT650,",,"TW, MY, ",Y,"PAUL & JOE 春蝶翩舞 指甲油,春蝶翩舞指甲油",2016/3/13,,N,N,1,N,https://pic.pimg.tw/styleme/1457807990-3851029236.png,,,,,,
3448,專櫃,PAUL & JOE,2016 春蝶翩舞,,春蝶翩舞唇膏,Lipstick Rouge A Levres CS Case & Refill,讓人聯想到春天的艷麗唇膏，猶如盛開花朵般的顯色，連蝴蝶都想一親芳澤，霜的觸感搭配霧面質感能持續均勻的在唇部服貼顯色。,,彩妝品,"唇膏,","霧面,服貼,顯色,色彩飽和,",2016/1/1,"容量:3g:NT800,",,"TW, MY, ",Y,"PAUL ＆ JOE 春蝶翩舞唇膏,春蝶翩舞唇膏",2016/3/13,,N,N,2,N,https://pic.pimg.tw/styleme/1457808053-211759530.png,,,,,,
3451,專櫃,PAUL & JOE,2016 春蝶翩舞,,春蝶翩舞眼頰彩盤,Face & Eye Color CS,集結眼影與腮紅，輕鬆展現春天氣息的彩妝盤，讓人聯想到蝴蝶飛舞於花朵間的雙色眼彩，特殊的泥漿製法與珠光打造濕潤猶如珍珠般的光澤眼影，花朵般的鮮豔色彩，像是蝴蝶親吻般的輕盈柔軟又顯色，紋理細緻擁有粉感的基底，能輕易暈染融入肌膚，打造輕柔霧面擁有透明感的腮紅。,,彩妝品,"腮紅修容,眼影,","光澤,服貼,打亮,好上色,色彩飽和,",2016/1/1,,,"TW, MY, ",Y,"PAUL ＆ JOE 春蝶翩舞眼頰彩盤,春蝶翩舞眼頰彩盤",2016/3/13,,N,N,2,N,https://pic.pimg.tw/styleme/1457807073-1441625773.jpg,,,,,,
3454,專櫃,PAUL & JOE,巴黎訂製系列,,巴黎訂製修容餅N,Powder Blush N,可單色或混搭使用，無限制的頰彩創造，打造濃郁又顯色的頰彩，採用與眼影相同的泥漿製法，觸感上就能感覺與一般粉餅狀腮紅的不同，霜一般的質地，展現與肌膚的高密合度與持妝力，享受越是疊擦越擁有如拋光般的光澤與乾淨顯色！表面做了油層包覆處理，能抑制因皮脂所產生的暗沉，長時間維持剛上妝時的鮮豔顯色。,,彩妝品,"腮紅修容,","珠光,好上色,修容,",2016/2/1,,"TW, MY",,N,"PAUL ＆ JOE 巴黎訂製修容餅N,巴黎訂製修容餅N",2016/3/13,,N,N,1,N,https://pic.pimg.tw/styleme/1457807234-4109621531.jpg,,,,,,
3457,專櫃,PAUL & JOE,巴黎訂製系列,,巴黎訂製修容霜,,霜狀質地對於肌膚的高密合度能均勻的覆蓋肌膚，防止發生肌膚毛孔突顯的情形。底妝前或後皆能使用，能輕鬆的延展與暈染，打造純淨有光澤的自然妝感。,,彩妝品,"腮紅修容,","服貼,顯色,打亮,",2016/2/1,,"TW, MY",,N,"PAUL ＆ JOE 巴黎訂製修容霜,巴黎訂製修容霜",2016/3/13,,N,Y,,N,https://pic.pimg.tw/styleme/1457807394-3313729617.jpg,,,,,,
3460,專櫃,PAUL & JOE,巴黎訂製系列,,巴黎訂製眼彩盤,Eye Color Trio,舒芙蕾般輕盈柔軟的基底，提升眼彩顯色度，大量添加的珠光讓眼妝增添閃亮光輝，擁有滑順與水潤觸感的質地，帶出純淨的鮮明顏色，兼具鮮豔與質感的光澤度。,,彩妝品,"眼影,","服貼,珠光,亮片,好上色,細緻,",2014/3/1,"容量:3g:NT1500,","TW, MY",,N,"PAUL ＆ JOE 巴黎訂製眼彩盤,巴黎訂製眼彩盤",2016/3/13,,N,N,2,N,https://pic.pimg.tw/styleme/1457807491-1330397087.jpg,,,,,,
3463,專櫃,PAUL & JOE,糖瓷底妝系列,,糖瓷提亮遮瑕筆,Illuminating Computing Touch Pen,擁有眼霜效果的遮瑕筆！兼顧眼周遮瑕與保養，針對不同狀況的黑眼圈設計最適合的遮瑕顏色，以光的折射去遮瑕讓眼周變的明亮，展現自然輕盈的妝感，添加荷荷巴油與海洋膠原蛋白等美容成分，出色的護理效果提供細緻的眼周肌膚水潤滑順的保養，擺脫遮瑕膏常有的厚感與粉感。,,彩妝品,"遮瑕,","修正膚色,均勻膚色,",2016/2/1,"容量:2g:NT1000,","TW, MY",,N,"PAUL ＆ JOE 糖瓷提亮遮瑕筆,糖瓷提亮遮瑕筆",2016/3/13,,N,N,,N,https://pic.pimg.tw/styleme/1457807799-1505689653.png,,,,,,
3466,專櫃,PAUL & JOE,糖瓷底妝系列,,糖瓷零毛孔飾底乳,Pore Smoothing Primer,添加能藉著光亂反射效果讓肌膚變柔焦的滑順無毛孔粉體及柔焦遮瑕凝膠，準確模糊毛孔就像毛玻璃覆蓋在肌膚上的效果，確實遮瑕毛孔與黑頭粉刺，塗抹後能瞬間服貼肌膚，轉化成清爽的質感，讓後續粉底也能均勻完妝，完成清爽的底妝。,,彩妝品,"妝前打底,","修飾毛孔,好推勻,",2016/2/1,"容量:10g:NT950,","TW, MY",,N,"PAUL ＆ JOE 糖瓷零毛孔飾底乳,糖瓷零毛孔飾底乳",2016/3/13,,N,N,,N,https://pic.pimg.tw/styleme/1457807858-4125878897.png,,,,,,
3469,專櫃,ORIGINS 品木宣言,Dr. Andrew WEIL青春無敵系列,,Dr. WEIL青春無敵潔膚液,,獨家微膠粒科技，能抓住肌膚多餘的油脂、汙染髒污及彩妝，因此能輕易地卸除，不會造成肌膚刺激，且此款潔膚液不含皂鹼、酒精及油脂，不會造成肌膚負擔，使用後清爽保濕不乾澀，尤其極敏感肌膚也可使用！,,保養品,"洗顏產品,卸妝產品,","卸妝,清潔,保濕,滋潤,",2015/10/1,"容量:200ml:NT1280,","TW, MY",,N,青春無敵潔膚液,2016/3/13,,N,N,4,N,https://pic.pimg.tw/styleme/1457808314-2910831743.jpg,,,,,,
3472,專櫃,ORIGINS 品木宣言,花顏悅色極致潤澤系列,,花顏悅色極致潤澤乳霜,,質地豐潤的滋養乳霜，幫助肌膚修護再生，使肌膚恢復年輕光澤，運用洋水仙球莖、 香桃木及白藜蘆醇，能使肌膚維持在年輕狀態，含有乳油木果油及白芒花籽油，能夠修補流失的保濕，防禦脂質，立即提升保濕力，添加黃根、蘋果萃取，使肌膚散發年輕健康光澤，玫瑰、茉莉、橘子及天竺葵等複方植物精油能愉悅身心、放鬆舒緩。,,保養品,"乳霜,","保濕,抗老,修護,",2016/1/1,"容量:50ml:NT3000,","TW, MY",,N,"ORIGINS 品木宣言 花顏悅色極致潤澤乳霜,花顏悅色極致潤澤乳霜",2016/3/13,,N,N,,N,https://pic.pimg.tw/styleme/1457808559-1171526773.jpg,,,,,,
3475,專櫃,ORIGINS 品木宣言,花顏悅色極致潤澤系列,,花顏悅色極致潤澤精華,Three Part Harmony Oil-Infused Serum for Renewal Repair And Radiance,獨特水乳狀絲緞質地，能修護再生肌膚，並提升潤澤度，使肌膚維持年輕光澤，運用洋水仙球莖、香桃木及白藜蘆醇，能使肌膚維持在年輕狀態，含有海甘藍籽油，質地如絲緞般輕盈，親膚性極佳，清爽潤澤無油感，對肌膚有再生修護的功效，使肌膚常保光滑彈性，添加黃根、蘋果萃取，使肌膚散發年輕健康光澤，玫瑰、茉莉、橘子及天竺葵等複方植物精油能愉悅身心、放鬆舒緩,,保養品,"精華液,","抗老,修護,提升光澤,抗空汙,",2016/1/1,"容量:30ml:NT3000,","TW, MY",,N,"ORIGINS 品木宣言 花顏悅色極致潤澤精華,花顏悅色極致潤澤精華",2016/3/13,,N,N,1,N,https://pic.pimg.tw/styleme/1457808722-3937834104.jpg,,,,,,
3478,專櫃,ORIGINS 品木宣言,駐顏有樹系列,,駐顏有樹立體小臉晚安面膜,,榆綠木及沒藥，能加強肌膚真皮層支撐結構，使肌膚飽滿有彈性，紅藻及甜杏仁能緊緻拉提，使肌膚緊實彈潤，凝乳狀質地，輕盈無負擔感，同時能加強保濕，避免睡眠中水分流失，植物複方精油包括粉紅玫瑰，橘子及八角茴香，能舒緩身心，在夜間黃金修護期，密集加強肌膚緊緻拉提，如同穿上馬甲一般，能讓臉部線條更加緊實。,,保養品,"保養面膜,","緊實,拉提,香氛,",2016/4/1,"容量:75ml:NT2300,","TW, MY",,N,"Origins 駐顏有樹立體小臉晚安面膜,品木宣言 Origins 駐顏有樹立體小臉晚安面膜,品木宣言 Origins 駐顏有樹立體小臉晚安面膜  小臉面膜,品木宣言 駐顏有樹立體小臉晚安面膜,小臉面膜,駐顏有樹立體小臉晚安面膜",2016/3/14,,N,N,2,N,https://pic.pimg.tw/styleme/1457960392-2591801863.png,,,,,,
3481,專櫃,ORIGINS 品木宣言,駐顏有樹系列,,駐顏有樹緊緻抗痕乳霜,,能改善細紋、皺紋，使肌膚恢復彈性及平滑細緻，時蘿籽及決明葉能使肌膚維持年輕飽滿彈性、絲貴欖及大豆植物固醇等天然植物保濕劑，能加強肌膚保濕度，植物複方精油包括粉紅玫瑰，橘子及八角茴香，能舒緩身心及抗氧化，改善皺紋同時兼具保濕，使肌膚恢復年輕光采。,,保養品,"乳霜,","保濕,抗老,緊實,香氛,",,"容量:50ml:NT2600,","TW, MY",,N,"ORIGINS 品木宣言 駐顏有樹緊緻抗痕乳霜,ORIGINS 駐顏有樹緊緻抗痕乳霜,品木宣言 駐顏有樹緊緻抗痕乳霜,駐顏有樹緊緻抗痕乳霜",2016/3/14,,N,Y,,N,https://pic.pimg.tw/styleme/1457960226-639427647.jpg,,,,,,
3484,專櫃,ORIGINS 品木宣言,駐顏有樹系列,,駐顏有樹緊緻抗痕面膜,,植物纖維材質，親膚性與附著性佳，如同第二層肌膚一般服貼，讓精華液迅速滲透至肌膚底層，榆綠木能加強肌膚真皮層支撐結構，平滑細紋乾紋，豐富植物果油，包括覆盆子果油、玫瑰果油及瓊崖海棠油能補充肌膚流失的水分及滋潤，植物複方精油包括粉紅玫瑰，橘子及八角茴香，能舒緩身心，能有效撫平細紋乾紋，同時具有抗氧化及保濕多重功效，使用後膚質更年輕！,,保養品,"清潔面膜,","保濕,滋潤,緊實,拉提,",2016/3/1,"容量:6片:NT1800,","TW, MY",,N,"ORIGINS 品木宣言 駐顏有樹緊緻抗痕面膜,ORIGINS 駐顏有樹緊緻抗痕面膜,品木宣言 駐顏有樹緊緻抗痕面膜,駐顏有樹緊緻抗痕面膜",2016/3/14,,N,N,1,N,https://pic.pimg.tw/styleme/1457960418-3499113639.jpg,,,,,,
3487,專櫃,ORIGINS 品木宣言,駐顏有樹系列,,駐顏有樹緊緻抗痕頸霜,,專門針對頸部肌膚護理，淡化頸部紋路。榆綠木、竹子、豌豆及沒藥，能加強肌膚真皮層支撐結構，使肌膚飽滿有彈性，枸杞，甜杏仁能緊緻拉提，葡萄糖胺使肌膚更加平滑細緻，甘蔗、蘋果及黃芩萃取能均勻膚色，植物複方精油能舒緩鎮定身心。,,美體產品,"身體保養,","緊實,",,"容量:50ml:NT2650,","TW, MY",,N,"ORIGINS 品木宣言 駐顏有樹緊緻抗痕頸霜,ORIGINS 駐顏有樹緊緻抗痕頸霜,品木宣言 駐顏有樹緊緻抗痕頸霜,駐顏有樹緊緻抗痕頸霜",2016/3/14,,N,N,,N,https://pic.pimg.tw/styleme/1457960623-2398028059.png,,,,,,
3490,專櫃,ORIGINS 品木宣言,駐顏有樹系列,,駐顏有樹護手霜,,能有效明顯淡化細紋皺紋，使膚觸更加平滑細緻，白芒花籽油能潤澤保濕肌膚，親膚性高，清爽好吸收，不會有油膩感，具有抗老功效的護手乳，質地細緻好吸收，使手部肌膚柔軟滑嫩。,,美體產品,"手部保養,","保濕,滋潤,改善紋路,緊實,",2016/4/1,,"TW, MY",,N,"ORIGINS 品木宣言 駐顏有樹護手霜,ORIGINS 駐顏有樹護手霜,品木宣言 駐顏有樹護手霜,駐顏有樹護手霜",2016/3/14,,N,N,1,N,https://pic.pimg.tw/styleme/1457960855-1014243523.png,,,,,,
3493,專櫃,ORIGINS 品木宣言,,,面面俱到面膜前導噴霧,,萃取自南美極地紅藻，敷臉前輕輕噴一下，能瞬間滲透角質層，調整肌膚吸收滲透力於最佳狀態，適用於任何塗抹式與片狀面膜，輕而易舉加倍後續面膜保養效能！,,保養品,"保濕噴霧,","好吸收,",2016/3/2,"容量: 95ml:NT900,","TW, MY",,N,"面面俱到面膜前導噴霧,面面俱到面膜前導噴霧  品木宣言,面面俱到面膜前導噴霧 ORIGINS",2016/3/14,,N,N,,N,https://pic.pimg.tw/styleme/1457961110-248576842.png,,,,,,
3496,專櫃,ORIGINS 品木宣言,泥娃娃身體活性碳潔淨系列,,泥娃娃活性碳沐浴膠,,竹碳能吸取毛孔中的髒污，深層淨化毛孔，含植物甘油，泡沫溫和並能徹底清潔肌膚，迷迭香、薄荷、檸檬及薰衣草的植物複方精油能給人清新舒暢感受，含竹碳的沐浴膠，能溫和洗淨肌膚，有效清潔毛孔油脂及汙垢，使用後肌膚清爽潔淨。,,美體產品,"身體清潔,","深層清潔,",2015/8/1,"容量:200ml:NT980,","TW, MY",,N,"ORIGINS 品木宣言 泥娃娃活性碳沐浴膠,ORIGINS 品木宣言 泥娃娃活性碳沐浴膠 泥娃娃沐浴膠,品木宣言 泥娃娃活性碳沐浴膠,泥娃娃沐浴膠,泥娃娃活性碳沐浴膠",2016/3/14,,N,N,,N,https://pic.pimg.tw/styleme/1457961353-2386647189.jpg,,,,,,
3499,專櫃,ORIGINS 品木宣言,泥娃娃身體活性碳潔淨系列,,泥娃娃活性碳身體按摩鹽,,竹碳能吸取毛孔中的髒污，深層淨化毛孔，運用死海鹽及有機黑糖，以溫和的方式代謝老廢角質，含小麥胚芽油、橄欖油及酪梨油等多種天然植物油，能滋潤肌膚，達到保濕功效，迷迭香、薄荷、檸檬及薰衣草的植物複方精油能給人清新舒暢感受，能深層清潔毛孔並有效去除老廢角質，清潔的同時也幫肌膚補充天然脂質，使用後肌膚柔嫩細緻。,,美體產品,"身體去角質,","去角質,滋潤,均勻膚色,",2015/8/1,"容量:150ml:NT1280,","TW, MY",,N,"ORIGINS 品木宣言 泥娃娃活性碳身體按摩鹽,ORIGINS 品木宣言 泥娃娃活性碳身體按摩鹽 泥娃娃按摩鹽,品木宣言 泥娃娃活性碳身體按摩鹽,泥娃娃按摩鹽,泥娃娃活性碳身體按摩鹽",2016/3/14,,N,N,,N,https://pic.pimg.tw/styleme/1457961475-288708856.jpg,,,,,,
3502,專櫃,ORIGINS 品木宣言,泥娃娃身體活性碳潔淨系列,,泥娃娃活性碳潔膚皂,,含竹碳的潔膚皂，竹碳能吸取毛孔中的髒污，深層淨化毛孔，含植物甘油，泡沫溫和並能徹底清潔肌膚，迷迭香、薄荷、檸檬及薰衣草的植物複方精油能給人清新舒暢感受，能溫和洗淨肌膚，有效清潔毛孔油脂及汙垢，使用後肌膚清爽潔淨。,,美體產品,"身體清潔,","深層清潔,提升光澤,香氛,",2015/8/22,"容量:200g:NT600,","TW, MY",,N,"ORIGINS 品木宣言 泥娃娃活性碳潔膚皂 泥娃娃皂,ORIGINS 泥娃娃活性碳潔膚皂,品木宣言 泥娃娃活性碳潔膚皂,泥娃娃皂",2016/3/14,,N,N,,N,https://pic.pimg.tw/styleme/1457961620-1166691148.jpg,,,,,,
3511,專櫃,,唇彩,,絕對完美唇膏 絲絨版,L'absolu Rouge,濃郁色彩中散發絲絨般細膩光澤，展現誘人完美雙唇！,,彩妝品,"唇膏,","保濕,潤色,霧面,顯色,好上色,好推勻,色彩飽和,",2015/11/1,"容量:4.2g:NT1050,","TW, MY",,N,絕對完美唇膏 絲絨版,2016/3/21,,N,N,5,N,https://pic.pimg.tw/styleme/1458548682-3878820252.png,,,,,,
3514,專櫃,,粉妝,,水感奇蹟玫瑰水粉餅,Teint Miracle Compact Powder Foundation,保濕力提升至40%，注入玫瑰精萃與玻尿酸，由高單位玻尿酸在肌膚形成保濕膜，將頂級玫瑰精萃鎖在肌膚內，上妝就像敷面膜，肌膚愈顯聚光透亮。,,彩妝品,"粉餅,","保濕,修飾毛孔,均勻膚色,長效持妝,服貼,防曬,遮瑕,",2015/9/1,"容量:10g:NT1800,","TW, MY",,N,"LANCOME 水感奇蹟玫瑰水粉餅,水感奇蹟玫瑰水粉餅,蘭蔻 水感奇蹟玫瑰水粉餅",2016/3/22,,N,N,12,Y,https://pic.pimg.tw/styleme/1458631227-3618560715.png,,,,,,
3517,專櫃,,粉妝,,水感奇蹟四色蜜粉餅,,深深淺淺的淡粉與玫瑰粉交織，再以細緻透亮的銀色點綴，畫圓式的綜合混刷，讓臉龐隱隱閃爍粉嫩的好氣色，綻放細膩透亮光澤。,,彩妝品,"蜜粉,","清爽,修正膚色,修飾毛孔,透亮,均勻膚色,長效持妝,服貼,薄透,",2015/9/1,"容量:7g:NT1800,","TW, MY",,N,"LANCOME 水感奇蹟四色蜜粉餅,水感奇蹟四色蜜粉餅,蘭蔻 水感奇蹟四色蜜粉餅",2016/3/22,,N,Y,,N,https://pic.pimg.tw/styleme/1458631463-450365437.jpg,,,,,,
3520,專櫃,LANEIGE 蘭芝,基礎保養,,好氣色果漾護唇凍,,強力提升鎖水度，讓雙唇隨時保水不乾燥，加上清透果凍質地，隨雙唇水分變化色彩，創造清透中帶有紅潤感的裸唇，即使不上唇妝也能擁有漂亮唇色。,,保養品,"唇部保養,","保濕,滋潤,潤色,",2015/9/15,"容量:3.5g:NT750,","TW, MY",,N,"LANEIGE 好氣色果漾護唇凍,好氣色果漾護唇凍,蘭芝 好氣色果漾護唇凍",2016/3/22,,N,Y,1,N,https://pic.pimg.tw/styleme/1461568618-1050468354.png,,,,,,
3523,專櫃,Marc Jacobs,香氛系列,,雛菊之夢女性淡香精,Daisy Dream,"蔚藍的天空外盒包裝搭配精緻的蕾絲花邊,，瓶身的肩膀曲線以精細的雛菊刻花裝飾點綴出浪漫與甜美，透明玻璃瓶身，反射出遼闊的天藍色調，呈現無所設限的自由精神。",,香氛產品,"女性香氛,",,2015/9/15,"容量:50ml:NT3250,","TW, MY",,N,"Marc Jacobs 雛菊之夢女性淡香精,雛菊之夢女性淡香精",2016/3/22,,N,N,,N,https://pic.pimg.tw/styleme/1458632450-1140229493.jpg,,,,,,
3529,專櫃,Rodial,龍血樹系列,,龍血樹超進化立體緊緻精華,Dragon's Blood XXL Advanced Sculpting Serum,採用亞馬遜雨林中，需生長數百年才能成為一棵樹的聖物─「龍血樹」所萃取出的擁有極高效的修護能力，塗抹在肌膚上就像是形成第二層肌膚，保護防護肌膚不受外在環境的傷害，同時達到立體緊顏。,,保養品,"精華液,","保濕,滋潤,抗老,緊實,修護,",2015/9/1,"容量:30ml:NT5500,","TW, MY",,N,"Rodial 龍血樹超進化立體緊緻精華,龍血樹超進化立體緊緻精華",2016/3/22,,N,N,1,N,https://pic.pimg.tw/styleme/1458633303-680592153.jpg,,,,,,
3532,專櫃,shu uemura 植村秀,臉部彩妝,,妝前妝後肌亮保濕乳,SP Glow Booster 01 purs glow,妝前妝後肌亮保濕乳是打底與完妝兩用的提亮修飾霜，藉由內外交互輝映的光澤，呈現宛如由內而外散發的光采；單一產品即可將肌膚調整到最美麗的光澤狀態。,,彩妝品,"妝前打底,","保濕,清爽,光澤,長效持妝,服貼,打亮,",2015/9/1,"容量:30ml:NT1400,","TW, MY",,N,"shu uemura 妝前妝後肌亮保濕乳,妝前妝後肌亮保濕乳,植村秀 妝前妝後肌亮保濕乳",2016/3/22,,N,N,,N,https://pic.pimg.tw/styleme/1458634024-2147729154.jpg,,,,,,
3535,專櫃,THE BODY SHOP 美體小舖,煥顏精萃系列,,煥顏金萃水凝霜,Oils Of Life Intensely Revitaling Gel Cream,清透水潤的凝霜質地，蘊含天然頂級的埃及黑孜然籽油、山茶花籽油、智利玫瑰果籽油、橄欖油等多種美肌營養素；搭配按摩能迅速吸收、密集補水同時潤澤修護。,,保養品,"凝膠凝凍,","保濕,滋潤,修護,改善細紋,提升光澤,",2015/8/31,"容量:50ml:NT1720,","TW, MY",,N,"The Body Shop 煥顏金萃水凝霜,煥顏金萃水凝霜,美體小舖	煥顏金萃水凝霜",2016/3/22,,N,N,1,N,https://pic.pimg.tw/styleme/1459699092-442946235.png,,,,,,
3538,專櫃,THE BODY SHOP 美體小舖,煥顏精萃系列,,煥顏金萃精華霜,Oils Of Life Intensely Revitalising Cream,豐潤細緻的乳霜質地，蘊含天然頂級的埃及黑孜然籽油、山茶花籽油、智利玫瑰果籽油、乳油木果油等多種滋養修護營養素，搭配按摩能迅速吸收、深層活化滋養肌膚、全方位修護抗皺。,,保養品,"乳霜,","保濕,滋潤,緊實,抗皺,修護,細緻毛孔,",2015/8/31,"容量:50ml:NT1720,","TW, MY",,N,"The Body Shop 煥顏金萃精華霜,煥顏金萃精華霜,美體小舖	煥顏金萃精華霜",2016/3/22,,N,N,,N,https://pic.pimg.tw/styleme/1459702285-630170474.png,,,,,,
3541,專櫃,Elizabeth Arden 伊麗莎白雅頓,其他系列,,奇肌超導活妍精華,Superstart Skin Renewal Booster,能有效提升肌膚防禦力、強化更新修復力，同時加乘保養功效。質地輕透好吸收，藉由此一重要的關鍵步驟，能幫助維持肌膚表層－角質層的健康，膚質柔軟平滑、有光澤。,,保養品,"精華液,","保濕,滋潤,緊實,修護,平滑膚觸,舒緩,",2015/10/1,"容量:30ml:NT2500,","TW, MY",,N,"Elizabeth Arden 奇肌超導活妍精華,伊麗莎白雅頓 奇肌超導活妍精華,奇肌超導活妍精華,奇肌超導活妍精華 雅頓",2016/3/22,,N,N,27,Y,https://pic.pimg.tw/styleme/1458634862-2763937980.jpg,,,,,,
